Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Lab.brd" as of: 10/05/2016 14:51:52
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
BUTTON1,Top,2.913,0.748,0
BUTTON2,Top,3.346,1.063,0
BUTTON3,Top,3.780,0.748,0
BUTTON4,Top,3.346,0.433,0
BUTTON5,Top,4.331,0.748,0
C1,Top,0.657,2.559,0
C2,Top,0.736,2.146,0
C3,Top,0.283,2.256,270
C4,Top,0.087,2.516,90
C5,Top,0.189,2.512,90
C6,Top,2.228,1.480,90
C7,Top,0.992,1.543,90
C8,Top,0.508,1.725,270
C9,Top,1.503,1.737,90
C10,Top,2.745,1.640,180
C11,Top,1.503,1.557,270
C12,Top,2.227,1.315,90
C13,Top,3.227,2.850,270
C14,Top,1.538,2.085,0
C15,Top,1.538,1.957,0
C16,Top,0.732,0.543,90
C17,Top,1.514,2.548,0
D1,Top,0.445,2.433,90
D2,Top,0.118,1.457,270
D3,Top,1.457,0.591,90
D4,Top,3.967,1.690,90
D5,Top,4.252,1.669,180
D6,Top,4.245,2.231,180
D7,Top,0.527,2.283,270
F1,Top,0.319,2.441,90
F2,Top,3.782,1.220,180
IC1,Top,0.799,1.839,90
IC2,Top,3.092,1.881,90
IC3,Top,1.950,1.665,0
IC4,Top,1.228,2.384,0
IC5,Top,0.974,0.301,0
L1,Top,0.189,2.315,270
LED1,Top,2.233,2.444,90
LED2,Top,2.392,2.445,90
LED3,Top,2.553,2.446,90
LED4,Top,2.783,2.446,90
LED5,Top,2.943,2.446,90
LED6,Top,3.103,2.446,90
LED7,Top,3.263,2.446,90
LED8,Top,3.423,2.446,90
LED9,Top,3.583,2.446,90
LED10,Top,3.743,2.446,90
LED11,Top,3.907,2.446,90
LED_RX,Top,1.024,1.260,0
LED_TX,Top,1.024,1.142,0
PHOTOTRANSISTOR,Top,3.701,1.535,180
POWER,Top,0.276,1.457,90
Q1,Top,1.218,1.782,270
Q2,Top,3.391,2.937,0
R1,Top,0.055,2.331,90
R2,Top,0.315,1.220,180
R3,Top,2.795,0.984,90
R4,Top,3.150,1.299,0
R5,Top,2.756,0.512,0
R6,Top,1.772,1.299,0
R7,Top,1.378,1.260,180
R8,Top,3.661,0.984,90
R9,Top,3.031,0.512,90
R10,Top,4.134,0.984,0
R11,Top,1.378,1.102,180
R12,Top,2.230,2.247,180
R13,Top,2.401,2.249,180
R14,Top,2.583,2.246,180
R15,Top,2.785,2.234,90
R16,Top,2.945,2.234,90
R17,Top,3.105,2.234,90
R18,Top,3.265,2.234,90
R19,Top,3.425,2.234,90
R20,Top,3.585,2.234,90
R21,Top,3.737,2.240,90
R22,Top,3.915,2.234,90
R23,Top,2.087,1.102,0
R24,Top,1.772,0.984,0
R25,Top,1.772,1.142,0
R26,Top,1.415,0.723,180
R27,Top,3.990,2.878,270
R28,Top,2.947,1.543,270
R29,Top,2.800,1.260,180
R30,Top,2.079,2.059,0
R31,Top,1.827,2.059,0
R32,Top,2.645,2.039,0
R33,Top,0.154,0.394,0
R34,Top,3.880,1.470,90
R35,Top,4.252,1.772,0
R36,Top,4.252,2.323,0
R37,Top,1.969,2.559,90
R38,Top,1.811,2.520,90
R39,Top,0.334,0.392,180
R40,Top,1.315,0.404,90
RESET_BUTTON,Top,3.661,1.850,0
S1,Top,0.160,0.785,180
SPEAKER,Top,1.913,0.577,0
U$1,Top,0.161,2.169,270
U$2,Top,0.268,2.087,0
U$3,Top,3.937,0.354,0
U$4,Top,0.354,2.835,0
U1,Top,0.748,2.362,0
USB_FILTER,Top,0.366,2.067,0
